"Rk","G","Month","Day","Year","Age.Year","Age.Day","Tm","X","Opp","X.1","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","PM","Season","Date","Status","Name","LName"
70,70,3,30,1988,25,42,"CHI","@","LAC","W (+17)",1,"34:00:00",15,25,0.6,0,0,NA,6,6,1,2,4,6,4,6,0,2,3,36,32.7,NA,4,1988-03-30,"Regular Season","Michael","Jordan"
71,71,4,1,1988,25,44,"CHI","@","POR","W (+15)",1,"42:00:00",13,30,0.433,1,2,0.5,11,13,0.846,4,7,11,7,3,0,3,5,38,29.2,NA,4,1988-04-01,"Regular Season","Michael","Jordan"
72,72,4,3,1988,25,46,"CHI","@","DET","W (+2)",1,"42:00:00",21,27,0.778,0,1,0,17,19,0.895,2,2,4,6,2,2,1,4,59,54.7,NA,4,1988-04-03,"Regular Season","Michael","Jordan"
73,73,4,5,1988,25,48,"CHI","","WSB","L (-11)",1,"42:00:00",12,20,0.6,0,1,0,5,8,0.625,1,2,3,1,4,2,6,4,29,18.4,NA,4,1988-04-05,"Regular Season","Michael","Jordan"
74,74,4,6,1988,25,49,"CHI","@","MIL","W (+9)",1,"44:00:00",12,22,0.545,0,0,NA,13,13,1,1,5,6,6,3,1,5,5,37,29.5,NA,4,1988-04-06,"Regular Season","Michael","Jordan"
75,75,4,8,1988,25,51,"CHI","","NYK","W (+9)",1,"43:00:00",13,24,0.542,0,0,NA,14,18,0.778,3,3,6,3,8,1,3,4,40,36,NA,4,1988-04-08,"Regular Season","Michael","Jordan"
76,76,4,14,1988,25,57,"CHI","@","IND","W (+6)",1,"38:00:00",12,28,0.429,0,2,0,11,12,0.917,2,4,6,3,3,1,2,3,35,25,NA,4,1988-04-14,"Regular Season","Michael","Jordan"
77,77,4,15,1988,25,58,"CHI","@","NJN","W (+1)",1,"39:00:00",11,20,0.55,0,0,NA,6,8,0.75,0,0,0,4,2,0,3,5,28,17.4,NA,4,1988-04-15,"Regular Season","Michael","Jordan"
78,78,4,17,1988,25,60,"CHI","","MIL","W (+8)",1,"38:00:00",17,29,0.586,0,1,0,10,14,0.714,1,2,3,6,4,3,2,4,44,36.9,NA,4,1988-04-17,"Regular Season","Michael","Jordan"
79,79,4,19,1988,25,62,"CHI","@","NYK","W (+3)",1,"40:00:00",18,27,0.667,0,2,0,11,13,0.846,3,2,5,2,2,1,6,4,47,33.7,NA,4,1988-04-19,"Regular Season","Michael","Jordan"
80,80,4,21,1988,25,64,"CHI","@","BOS","L (-7)",1,"41:00:00",17,33,0.515,0,2,0,5,6,0.833,3,0,3,8,2,1,4,5,39,26.7,NA,4,1988-04-21,"Regular Season","Michael","Jordan"
81,81,4,22,1988,25,65,"CHI","","CLE","L (-4)",1,"42:00:00",12,26,0.462,0,0,NA,2,2,1,1,0,1,7,4,1,2,5,26,18.9,NA,4,1988-04-22,"Regular Season","Michael","Jordan"
82,82,4,24,1988,25,67,"CHI","","BOS","W (+7)",1,"44:00:00",16,25,0.64,0,1,0,14,15,0.933,0,6,6,6,1,1,3,3,46,38,NA,4,1988-04-24,"Regular Season","Michael","Jordan"
